,doi,chunk,abstract_bool,definition_bool,table_bool,measurement_bool
0,10.1002/lno.12769,-1,False,,,
1,10.1002/lno.70071,-1,False,,,
2,10.1002/lno.12802,-1,True,,,
3,10.1002/lno.12802,0,True,False,False,False
4,10.1002/lno.12812,-1,False,,,
5,10.1002/lno.12773,-1,False,,,
6,10.1002/lno.70066,-1,True,,,
7,10.1002/lno.70066,0,True,False,False,False
8,10.1002/lno.12779,-1,False,,,
9,10.1002/lno.70045,-1,True,,,
10,10.1002/lno.70045,0,True,False,False,False
11,10.1002/lno.70045,1,True,False,False,False
12,10.1002/lno.70045,2,True,False,False,False
13,10.1002/lno.70045,3,True,False,False,False
14,10.1002/lno.70045,4,True,False,False,False
15,10.1002/lno.70045,5,True,False,False,False
16,10.1002/lno.70045,6,True,False,True,False
17,10.1002/lno.70045,7,True,False,False,False
18,10.1002/lno.70045,8,True,False,False,False
19,10.1002/lno.70045,9,True,False,False,False
20,10.1002/lno.70045,10,True,False,False,False
21,10.1002/lno.70045,11,True,False,False,False
22,10.1002/lno.70045,12,True,False,True,False
23,10.1002/lno.70045,13,True,False,True,False
24,10.1002/lno.70045,14,True,False,True,False
25,10.1002/lno.70045,15,True,False,False,False
26,10.1002/lno.70045,16,True,False,True,False
27,10.1002/lno.70045,17,True,False,False,False
28,10.1002/lno.70045,18,True,False,True,False
29,10.1002/lno.70045,19,True,False,True,False
30,10.1002/lno.70045,20,True,False,False,False
31,10.1002/lno.70045,21,True,False,False,False
32,10.1002/lno.70045,22,True,False,False,False
33,10.1002/lno.70045,23,True,False,False,False
34,10.1002/lno.70045,24,True,False,True,False
35,10.1002/lno.70082,-1,False,,,
36,10.1002/lno.70001,-1,True,,,
37,10.1002/lno.70001,0,True,False,False,False
38,10.1002/lno.70001,1,True,False,False,False
39,10.1002/lno.70001,2,True,False,False,False
40,10.1002/lno.70001,3,True,False,False,False
41,10.1002/lno.70001,4,True,False,False,False
42,10.1002/lno.70001,5,True,False,False,False
43,10.1002/lno.70001,6,True,False,False,False
44,10.1002/lno.70001,7,True,False,False,False
45,10.1002/lno.70001,8,True,False,False,False
46,10.1002/lno.70001,9,True,False,False,False
47,10.1002/lno.70001,10,True,False,False,False
48,10.1002/lno.70001,11,True,False,False,False
49,10.1002/lno.70001,12,True,False,False,False
50,10.1002/lno.70001,13,True,False,False,False
51,10.1002/lno.70001,14,True,False,False,False
52,10.1002/lno.70001,15,True,False,False,False
53,10.1002/lno.70001,16,True,False,False,False
54,10.1002/lno.70001,17,True,False,False,False
55,10.1002/lno.70001,18,True,False,False,False
56,10.1002/lno.70001,19,True,False,False,False
57,10.1002/lno.70001,20,True,False,False,False
58,10.1002/lno.70001,21,True,False,False,False
59,10.1002/lno.70001,22,True,False,False,False
60,10.1002/lno.70001,23,True,False,False,False
61,10.1002/lno.70001,24,True,False,False,False
62,10.1002/lno.70001,25,True,False,False,False
63,10.1002/lno.70001,26,True,False,False,False
64,10.1002/lno.70001,27,True,False,False,False
65,10.1002/lno.70001,28,True,False,False,False
66,10.1002/lno.70001,29,True,False,False,False
67,10.1002/lno.70001,30,True,False,False,False
68,10.1002/lno.70001,31,True,False,False,False
